"New Dwelling Completion (Number) by Type of House, Local Authority and"
"Quarter"

" "," ","2011Q1","2011Q2","2011Q3","2011Q4","2012Q1","2012Q2","2012Q3","2012Q4","2013Q1","2013Q2","2013Q3","2013Q4","2014Q1","2014Q2","2014Q3","2014Q4","2015Q1","2015Q2","2015Q3","2015Q4","2016Q1","2016Q2","2016Q3","2016Q4","2017Q1","2017Q2","2017Q3","2017Q4","2018Q1","2018Q2","2018Q3","2018Q4","2019Q1"
" ","Fingal (County Council)",14,24,60,11,17,6,1,12,12,1,1,1,1,1,10,0,3,36,16,1,13,96,1,0,14,11,183,234,107,44,0,54,56
" ","Galway (County Council)",0,0,4,1,7,0,2,5,0,0,0,0,2,2,1,2,1,2,8,0,1,4,6,5,19,3,9,5,4,9,2,4,3
" ","Kerry (County Council)",3,0,3,6,1,0,0,25,5,0,0,1,0,0,0,2,0,0,0,0,4,6,1,0,7,13,1,6,10,4,5,8,4
" ","Kildare (County Council)",72,2,0,1,8,0,0,4,1,0,0,0,0,0,0,0,0,11,3,3,3,2,0,3,4,10,11,0,8,15,7,1,4
" ","Kilkenny (County Council)",3,0,0,8,0,0,0,0,0,9,1,2,0,0,0,1,0,0,2,0,0,4,2,1,0,2,5,6,0,4,16,13,0
" ","Laois (County Council)",0,1,1,3,1,0,1,0,0,2,0,0,10,2,0,0,0,3,0,4,0,0,3,0,0,0,0,2,6,1,3,8,0
" ","Leitrim (County Council)",22,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,3,2,3,1,1,5,2,1,2,0,0,1,6
" ","Longford (County Council)",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,3,1,6,2,2,2,5,2,2,0,0,0,1,0
" ","Louth (County Council)",0,6,1,2,5,4,0,0,0,0,2,0,2,0,17,1,0,2,0,3,4,4,3,4,2,1,2,5,5,16,4,15,19
" ","Mayo (County Council)",0,4,10,0,0,0,1,0,4,2,0,0,1,3,0,0,1,3,6,0,0,0,0,0,2,0,7,7,3,0,0,0,1
" ","Meath (County Council)",3,3,0,2,1,2,1,0,0,0,1,4,0,4,0,0,0,2,4,3,0,3,27,6,11,2,3,1,2,14,2,5,7
" ","Monaghan (County Council)",0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,1,2,2,2,2,4,0,1,3,0,0,2
" ","Offaly (County Council)",0,0,0,4,0,0,3,0,0,0,0,1,0,0,1,0,0,0,5,1,3,1,0,1,0,0,1,0,0,0,3,8,10
" ","Roscommon (County Council)",0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,6,4,0,0,1,3,0,3,1,1,0,6,2,15,0,0
" ","Sligo (County Council)",7,0,3,0,18,14,0,0,4,0,1,1,0,1,0,0,0,0,0,5,0,0,12,0,3,0,0,0,0,6,0,10,0
" ","Westmeath (County Council)",0,1,2,2,0,0,1,0,0,0,0,3,9,0,0,1,0,6,1,2,3,0,1,1,1,0,2,1,4,0,0,8,3
" ","Wexford (County Council)",0,0,9,0,0,1,0,2,0,1,0,0,0,0,0,0,0,2,0,1,0,1,0,0,2,0,3,3,5,6,0,0,0
" ","Wicklow (County Council)",27,4,1,0,1,2,18,0,1,3,3,0,2,0,0,1,6,2,7,2,5,1,3,0,1,1,7,13,4,1,0,14,4
" ","Cork (City Council)",5,6,0,7,0,0,5,6,3,0,1,4,0,4,13,0,8,4,0,24,11,6,6,11,0,5,13,5,7,28,39,35,21
" ","Dublin (City Council)",59,89,20,75,47,25,35,35,25,80,25,40,24,197,102,59,60,43,77,63,75,75,103,54,92,170,289,158,166,117,296,363,297
" ","Dun Laoire/Rathdown (County Council)",8,51,4,1,0,0,1,0,0,0,0,82,103,0,2,93,11,9,8,6,165,14,78,166,257,153,55,99,85,155,175,160,86
" ","Galway (City Council)",7,1,4,1,2,3,3,2,0,28,1,1,3,14,6,4,2,9,4,7,13,11,5,3,15,0,11,4,4,5,0,3,8
" ","South Dublin Co. Co. (County Council)",11,1,13,6,0,1,1,20,5,8,1,2,0,1,11,1,2,7,0,5,1,0,1,0,0,17,0,55,10,7,0,11,48
" ","Limerick City and County",4,1,2,5,0,8,14,34,11,1,0,64,1,4,1,1,2,2,23,10,3,7,1,1,7,3,5,0,4,13,12,3,3
" ","Waterford City and County",1,0,2,0,1,3,1,2,0,0,0,1,0,0,1,2,4,3,59,4,2,3,2,2,7,2,1,15,0,3,7,29,1
" ","Tipperary County",11,0,1,0,0,0,0,0,0,0,1,3,1,4,1,0,1,5,4,2,5,1,5,3,4,9,0,2,10,0,0,1,5

